=======images with obj=======
img: D:\psd\CVPR_IMG\P81103-185823.jpg, mathes: 55432, good: 553, delta: 54879, time/size: 22.866498606 sec, localization error: 237.884771053
img: D:\psd\CVPR_IMG\P81103-185840.jpg, mathes: 55432, good: 377, delta: 55055, time/size: 16.7897578307 sec, localization error: 967.978401946
img: D:\psd\CVPR_IMG\P81103-185843.jpg, mathes: 55432, good: 708, delta: 54724, time/size: 20.7082066985 sec, localization error: 454.390836327
img: D:\psd\CVPR_IMG\P81103-185847.jpg, mathes: 55432, good: 656, delta: 54776, time/size: 20.0291071397 sec, localization error: 948.814253429
img: D:\psd\CVPR_IMG\P81103-185853.jpg, mathes: 55432, good: 816, delta: 54616, time/size: 49.9526358265 sec, localization error: 252.721335931
img: D:\psd\CVPR_IMG\P81103-185910.jpg, mathes: 55432, good: 639, delta: 54793, time/size: 25.1254007336 sec, localization error: 341.328105702
img: D:\psd\CVPR_IMG\P81103-185915.jpg, mathes: 55432, good: 386, delta: 55046, time/size: 39.8100981376 sec, localization error: 176.647973196
img: D:\psd\CVPR_IMG\P81103-185917.jpg, mathes: 55432, good: 558, delta: 54874, time/size: 45.1928662436 sec, localization error: 937.115719822
img: D:\psd\CVPR_IMG\P81103-185924.jpg, mathes: 55432, good: 673, delta: 54759, time/size: 47.857221871 sec, localization error: 487.25817771
img: D:\psd\CVPR_IMG\P81103-185942.jpg, mathes: 55432, good: 532, delta: 54900, time/size: 74.3055882481 sec, localization error: 1137.7521632
img: D:\psd\CVPR_IMG\P81103-185944.jpg, mathes: 55432, good: 734, delta: 54698, time/size: 27.0615977954 sec, localization error: 335.183393012
img: D:\psd\CVPR_IMG\P81103-185950.jpg, mathes: 55432, good: 473, delta: 54959, time/size: 60.9004732344 sec, localization error: 1514.69540353
img: D:\psd\CVPR_IMG\P81103-185952.jpg, mathes: 55432, good: 251, delta: 55181, time/size: 35.813856086 sec, localization error: 749.394550888
img: D:\psd\CVPR_IMG\P81103-190005.jpg, mathes: 55432, good: 970, delta: 54462, time/size: 45.5544296721 sec, localization error: 830.73170749
img: D:\psd\CVPR_IMG\P81103-190011.jpg, mathes: 55432, good: 1591, delta: 53841, time/size: 57.2713727138 sec, localization error: 288.561026241
img: D:\psd\CVPR_IMG\P81103-190029.jpg, mathes: 55432, good: 1028, delta: 54404, time/size: 27.3152552108 sec, localization error: 40.3790541489
img: D:\psd\CVPR_IMG\P81103-190034.jpg, mathes: 55432, good: 1125, delta: 54307, time/size: 41.0688194369 sec, localization error: 166.008580637
img: D:\psd\CVPR_IMG\P81103-190037.jpg, mathes: 55432, good: 386, delta: 55046, time/size: 55.6362034791 sec, localization error: 698.622983571
img: D:\psd\CVPR_IMG\P81103-190040.jpg, mathes: 55432, good: 391, delta: 55041, time/size: 17.9795062077 sec, localization error: 682.270527469
img: D:\psd\CVPR_IMG\P81103-190047.jpg, mathes: 55432, good: 1112, delta: 54320, time/size: 45.7416320923 sec, localization error: 477.751848867
img: D:\psd\CVPR_IMG\P81103-190105.jpg, mathes: 55432, good: 910, delta: 54522, time/size: 34.6851017009 sec, localization error: 183.274611103
img: D:\psd\CVPR_IMG\P81103-190111.jpg, mathes: 55432, good: 419, delta: 55013, time/size: 18.9123301938 sec, localization error: 443.680343371
img: D:\psd\CVPR_IMG\P81103-190123.jpg, mathes: 55432, good: 1229, delta: 54203, time/size: 27.7470711161 sec, localization error: 523.992501884
img: D:\psd\CVPR_IMG\P81103-192111.jpg, mathes: 55432, good: 1582, delta: 53850, time/size: 78.1244177112 sec, localization error: 541.128164198
img: D:\psd\CVPR_IMG\P81103-192142.jpg, mathes: 55432, good: 860, delta: 54572, time/size: 25.1765511046 sec, localization error: 275.063266388
img: D:\psd\CVPR_IMG\P81103-192146.jpg, mathes: 55432, good: 507, delta: 54925, time/size: 18.7678846553 sec, localization error: 445.897745185
img: D:\psd\CVPR_IMG\P81103-192157.jpg, mathes: 55432, good: 991, delta: 54441, time/size: 17.9411844679 sec, localization error: 643.83703773
img: D:\psd\CVPR_IMG\P81103-192209.jpg, mathes: 55432, good: 823, delta: 54609, time/size: 23.8033976036 sec, localization error: 910.613619855
img: D:\psd\CVPR_IMG\P81103-192212.jpg, mathes: 55432, good: 784, delta: 54648, time/size: 38.5371553548 sec, localization error: 1042.86339737
img: D:\psd\CVPR_IMG\P81103-192213.jpg, mathes: 55432, good: 540, delta: 54892, time/size: 54.6019553734 sec, localization error: 1143.44615007
img: D:\psd\CVPR_IMG\P81103-192214.jpg, mathes: 55432, good: 1188, delta: 54244, time/size: 22.4652744197 sec, localization error: 860.222591364
img: D:\psd\CVPR_IMG\P81103-192217.jpg, mathes: 55432, good: 1034, delta: 54398, time/size: 56.2702704098 sec, localization error: 240.438096844
img: D:\psd\CVPR_IMG\P81103-192225.jpg, mathes: 55432, good: 779, delta: 54653, time/size: 67.4446230222 sec, localization error: 714.218821541
img: D:\psd\CVPR_IMG\P81103-192229.jpg, mathes: 55432, good: 794, delta: 54638, time/size: 19.0953529018 sec, localization error: 855.281361834
img: D:\psd\CVPR_IMG\P81103-192231.jpg, mathes: 55432, good: 845, delta: 54587, time/size: 154.90911955 sec, localization error: 256.494707789
img: D:\psd\CVPR_IMG\P81103-192233.jpg, mathes: 55432, good: 593, delta: 54839, time/size: 16.1686303599 sec, localization error: 170.516917373
img: D:\psd\CVPR_IMG\P81103-192234.jpg, mathes: 55432, good: 807, delta: 54625, time/size: 13.7524751256 sec, localization error: 272.073854034
img: D:\psd\CVPR_IMG\P81103-192238.jpg, mathes: 55432, good: 796, delta: 54636, time/size: 22.2956955004 sec, localization error: 761.991268007
img: D:\psd\CVPR_IMG\P81103-192241.jpg, mathes: 55432, good: 1842, delta: 53590, time/size: 21.3990359978 sec, localization error: 1134.62365193
img: D:\psd\CVPR_IMG\P81103-192242.jpg, mathes: 55432, good: 1484, delta: 53948, time/size: 25.8763284259 sec, localization error: 240.844818809
img: D:\psd\CVPR_IMG\P81103-192244.jpg, mathes: 55432, good: 418, delta: 55014, time/size: 13.4931603943 sec, localization error: 235.543504636
img: D:\psd\CVPR_IMG\P81103-192245.jpg, mathes: 55432, good: 936, delta: 54496, time/size: 55.1648053653 sec, localization error: 1014.92802917
